Name,Pool 1,Pool 2,Final
"Yergler, Jonathan",1,0,17
"Bratton, Benjamin",2,0,18
"Rhea, R. Rob (Rob Rhea)",3,0,9
"Jones, Simon",4,0,10
"Mo, Kevin",5,0,19
"Ungar, Benjamin (Benji)",6,0,3
"Hoyle, Jacob",7,0,20
"Sherrill, Teddy",8,0,21
"McDowald, Curtis",9,0,11
"Badger, Peregrine (P Badge)",10,0,5
"Piskovatskov, Anton",11,0,12
"Hadzic, Alen",12,0,3
"Tsinis, Alexander",13,0,6
"Pryor, Jason",14,0,7
"Kraft, Dennis",15,0,22
"Mandoki, Sandor",16,0,23
"Rafidi, Joseph (Joey)",17,0,13
"Watson, Adam",18,0,2
"Arieta, Ryan",19,0,24
"Nollner, Dylan",20,0,25
"Hanahan, Nicholas",21,0,33
"Dion, Justin",22,0,26
"Smith, Dwight",23,0,27
"Maczik, Adam",24,0,34
"Freiman, Samuel (Sam)",25,0,35
"Koch, Samuel",26,0,36
"Canaux, Gabriel",27,0,28
"Simmons, Ariel (Ari)",28,0,14
"Horanyi, Andras",29,0,37
"Rostal, Scott",30,0,38
"Hesslegrave, Porter",31,0,39
"Vomero, Nicholas",32,0,40
"Ramirez, Yeisser",32,0,1
"Ro, Brian",34,0,15
"Raynis, Michael",35,0,29
"Ibrahim, Ayyub",36,0,30
"Zmyslowski, Maciek",37,0,41
"Lane, Aaron",37,0,41
"Adamitis, Noah",39,0,16
"Rodney, Adam",40,0,31
"Moody, James",40,0,8
"Salem, James",42,0,43
"Mallette, Cole",43,0,44
"Wicas, Graham",44,0,32
"Popovici, Michael",44,0,45
"Cramerus, John",46,0,46
"Isaac, Joseph (Izzy)",46,0,46
"Grab, Ethan",48,0,48
"Lichten, Keith",49,0,49
"Antekeier, Aidan",50,0,50
"Neslund, Byron",51,0,51
"Eldeib, Alexander (Ace)",52,0,52
"Casertano, Lorenzo",53,0,53
"Moss, Zachary",53,0,53
"Cheong, Robin",55,0,55
"Fleck, C.j.",56,0,56
"Horanyi, Andras",1,0,5
"Watson, Adam",2,0,6
"Tsinis, Alexander",3,0,1
"Cramerus, John",4,0,17
"Hanahan, Nicholas",5,0,18
"Ro, Brian",6,0,7
"Russell, Ben",7,0,19
"Hadzic, Alen",8,0,3
"Rodney, Adam",9,0,9
"Sherrill, Teddy",10,0,3
"Yergler, Jonathan",11,0,20
"Pathi, Narayan",12,0,21
"Jones, Simon",13,0,22
"Ibrahim, Ayyub",14,0,10
"Neslund, Byron",15,0,23
"Casertano, Lorenzo",16,0,11
"McGrath, Matthew (garrett)",17,0,24
"Tafoya, Daniel",18,0,12
"Rhea, R. Rob (Rob Rhea)",19,0,13
"Sorensen, Nathan",19,0,25
"Mo, Kevin",21,0,33
"Vomero, Nicholas",22,0,14
"Freiman, Samuel (Sam)",23,0,26
"Badger, Peregrine (P Badge)",24,0,27
"Rostal, Scott",25,0,28
"Johnson, Nicholas (Nick)",26,0,34
"Fishler, Clifford",27,0,35
"Isaac, Joseph (Izzy)",28,0,36
"Pryor, Jason",28,0,2
"Maczik, Adam",30,0,37
"Raynis, Michael",31,0,29
"Bogard, Matt",32,0,30
"Nollner, Dylan",33,0,38
"Benjamin, Julio",34,0,39
"Yoo, Justin",35,0,31
"Wan, Justin",36,0,40
"McDowald, Curtis",37,0,15
"Smith, Dwight",38,0,32
"Wicas, Graham",39,0,16
"Salem, James",40,0,41
"Dion, Justin",41,0,42
"Koch, Samuel",42,0,43
"Hoyle, Jacob",43,0,8
"Gannon-O'Gara, Rene",43,0,44
"Thompson, Soren",45,0,45
"Popovici, Michael",46,0,46
"Russell, Todd",47,0,47
"Slater, Jay",48,0,48
"Eldeib, Alexander (Ace)",49,0,49
"Piskovatskov, Anton",50,0,50
"Amann, Spencer",51,0,51
"Ramirez, Yeisser",52,0,52
"Moody, James",53,0,53
"Riviere, Benjamin",54,0,54
"Wieder, Benjamin (Ben)",55,0,55
"Bowsher, Dennis",56,0,56
"Jacovino, Jonathan",57,0,57
"Cheong, Robin",58,0,58
"TSINIS, Alexander",1,0,17
"HOYLE, Jacob",2,0,5
"RODNEY, Adam",3,0,18
"RAMIREZ, Yeisser",4,0,9
"KRAFT, Dennis",5,0,2
"LOMBARDO, Theodore",6,0,6
"THOMPSON, Soren",7,0,10
"SHERRILL, Edward",8,0,19
"KAULL, James",9,0,20
"NOLLNER, Dylan",10,0,11
"ELASHRY, Zeyad",10,0,33
"PRYOR, Jason",12,0,12
"HAIDER, Syed Safi",12,0,21
"RAFIDI, Joseph",14,0,22
"EWART, Stephen",15,0,34
"CANAUX, Gabriel",16,0,35
"HOUSE, Alex",17,0,36
"HANAHAN, Nicholas",17,0,36
"YERGLER, Jonathan",19,0,13
"PISKOVATSKOV, Anton",20,0,7
"ARLINGTON, Nicholas",21,0,38
"SCHUMACHER, Cooper",21,0,23
"ARIETA, Ryan",23,0,39
"WHITE, Sean",24,0,40
"LICHTEN, Keith",25,0,41
"SMOAK, Omari",26,0,24
"MECKE, Cedric",27,0,42
"RODELL, Clinton",28,0,25
"WILSON, Nicolas",29,0,26
"BRATTON, Benjamin",30,0,1
"RAYNIS, Jake",31,0,27
"WEISS, Lewis",32,0,3
"MCDOWALD, Curtis",33,0,43
"MACZIK, Adam",34,0,44
"SMITH, Dwight",35,0,45
"LEE, Andrew",36,0,46
"MILLER, Finn",37,0,47
"HONDOR, Robert",38,0,48
"CULLEN, Daniel",38,0,28
"DION, Justin",40,0,8
"SANDERS, Ian",41,0,14
"SIMMONS, Ariel",42,0,3
"PETROLL, Jared",43,0,29
"CONNOR, Ryan",44,0,49
"CHOO, Joseph",44,0,49
"WIEDER, Benjamin",46,0,51
"ZELLER, Zachary",47,0,30
"HERBST, Isaac",48,0,15
"TAFOYA, Devin",49,0,31
"YUAN, Wesley",50,0,52
"TEPEDELENLIOGLU, Mehmet",50,0,16
"BARR, Davidson",52,0,53
"KOCH, Samuel",53,0,54
